 GRID IS READ
 METRIC IS CALCULATED
 INITIAL SOLUTION IS GENERATED
 HYDROSTATIC PRESSURE IS CALCULATED 
 CONVERGENCE HISTORY FILES ARE OPENED
     216 0.342E-04 0.261E-04 0.173E-04
     217 0.391E-04 0.308E-04 0.130E-04
     218 0.349E-04 0.228E-04 0.267E-04
     219 0.346E-04 0.425E-04 0.176E-04
     220 0.283E-04 0.316E-04 0.250E-04
     221 0.271E-04 0.182E-04 0.205E-04
     222 0.222E-04 0.194E-04 0.234E-04
     223 0.248E-04 0.247E-04 0.160E-04
     224 0.210E-04 0.168E-04 0.145E-04
     225 0.184E-04 0.178E-04 0.116E-04
     226 0.170E-04 0.148E-04 0.102E-04
     227 0.137E-04 0.178E-04 0.104E-04
     228 0.117E-04 0.178E-04 0.886E-05
     229 0.115E-04 0.137E-04 0.970E-05
     230 0.117E-04 0.171E-04 0.837E-05
     231 0.166E-04 0.173E-04 0.119E-04
     232 0.172E-04 0.147E-04 0.948E-05
     233 0.161E-04 0.191E-04 0.104E-04
     234 0.165E-04 0.183E-04 0.855E-05
     235 0.164E-04 0.145E-04 0.828E-05
     236 0.143E-04 0.153E-04 0.127E-04
     237 0.167E-04 0.178E-04 0.951E-05
     238 0.142E-04 0.174E-04 0.931E-05
     239 0.139E-04 0.151E-04 0.106E-04
     240 0.131E-04 0.124E-04 0.870E-05
     241 0.903E-05 0.145E-04 0.694E-05
     242 0.921E-05 0.116E-04 0.937E-05
     243 0.958E-05 0.138E-04 0.924E-05
     244 0.976E-05 0.181E-04 0.833E-05
     245 0.131E-04 0.173E-04 0.847E-05
     246 0.130E-04 0.244E-04 0.798E-05
     247 0.116E-04 0.140E-04 0.899E-05
     248 0.116E-04 0.170E-04 0.887E-05
     249 0.104E-04 0.140E-04 0.780E-05
     250 0.105E-04 0.150E-04 0.863E-05
     251 0.113E-04 0.152E-04 0.110E-04
     252 0.130E-04 0.152E-04 0.966E-05
     253 0.853E-05 0.120E-04 0.776E-05
     254 0.895E-05 0.201E-04 0.727E-05
     255 0.811E-05 0.130E-04 0.822E-05
     256 0.826E-05 0.129E-04 0.744E-05
     257 0.736E-05 0.145E-04 0.719E-05
     258 0.804E-05 0.145E-04 0.782E-05
     259 0.908E-05 0.169E-04 0.723E-05
     260 0.929E-05 0.135E-04 0.644E-05
     261 0.952E-05 0.169E-04 0.906E-05
     262 0.933E-05 0.173E-04 0.906E-05
     263 0.881E-05 0.169E-04 0.962E-05
     264 0.963E-05 0.146E-04 0.862E-05
     265 0.119E-04 0.177E-04 0.815E-05
     266 0.122E-04 0.114E-04 0.654E-05
     267 0.103E-04 0.175E-04 0.851E-05
     268 0.963E-05 0.175E-04 0.850E-05
     269 0.110E-04 0.172E-04 0.114E-04
     270 0.120E-04 0.172E-04 0.961E-05
     271 0.999E-05 0.987E-05 0.863E-05
     272 0.100E-04 0.987E-05 0.774E-05
     273 0.105E-04 0.126E-04 0.726E-05
     274 0.103E-04 0.147E-04 0.649E-05
     275 0.778E-05 0.127E-04 0.877E-05
     276 0.877E-05 0.129E-04 0.634E-05
     277 0.834E-05 0.115E-04 0.100E-04
     278 0.109E-04 0.118E-04 0.775E-05
     279 0.101E-04 0.169E-04 0.118E-04
     280 0.935E-05 0.169E-04 0.112E-04
     281 0.794E-05 0.166E-04 0.650E-05
     282 0.806E-05 0.166E-04 0.753E-05
     283 0.923E-05 0.122E-04 0.102E-04
     284 0.906E-05 0.180E-04 0.109E-04
     285 0.106E-04 0.119E-04 0.933E-05
     286 0.105E-04 0.121E-04 0.741E-05
     287 0.112E-04 0.169E-04 0.975E-05
     288 0.978E-05 0.177E-04 0.827E-05
     289 0.102E-04 0.153E-04 0.861E-05
     290 0.974E-05 0.120E-04 0.884E-05
     291 0.913E-05 0.141E-04 0.125E-04
     292 0.977E-05 0.124E-04 0.120E-04
     293 0.108E-04 0.115E-04 0.624E-05
     294 0.106E-04 0.130E-04 0.102E-04
     295 0.981E-05 0.154E-04 0.923E-05
     296 0.773E-05 0.154E-04 0.804E-05
     297 0.682E-05 0.133E-04 0.950E-05
     298 0.929E-05 0.134E-04 0.779E-05
     299 0.918E-05 0.107E-04 0.806E-05
     300 0.891E-05 0.107E-04 0.714E-05
     301 0.744E-05 0.147E-04 0.812E-05
     302 0.752E-05 0.147E-04 0.748E-05
     303 0.939E-05 0.162E-04 0.793E-05
     304 0.914E-05 0.163E-04 0.807E-05
     305 0.916E-05 0.158E-04 0.860E-05
     306 0.916E-05 0.158E-04 0.788E-05
     307 0.840E-05 0.160E-04 0.871E-05
     308 0.774E-05 0.157E-04 0.738E-05
     309 0.795E-05 0.187E-04 0.765E-05
     310 0.817E-05 0.189E-04 0.706E-05
     311 0.844E-05 0.132E-04 0.906E-05
     312 0.868E-05 0.132E-04 0.875E-05
     313 0.102E-04 0.139E-04 0.867E-05
     314 0.104E-04 0.139E-04 0.632E-05
     315 0.765E-05 0.172E-04 0.870E-05
     316 0.781E-05 0.149E-04 0.816E-05
     317 0.754E-05 0.151E-04 0.808E-05
     318 0.861E-05 0.150E-04 0.791E-05
     319 0.723E-05 0.176E-04 0.828E-05
     320 0.789E-05 0.176E-04 0.804E-05
     321 0.795E-05 0.193E-04 0.664E-05
     322 0.796E-05 0.193E-04 0.664E-05
     323 0.820E-05 0.167E-04 0.739E-05
     324 0.853E-05 0.169E-04 0.579E-05
     325 0.911E-05 0.152E-04 0.719E-05
     326 0.901E-05 0.152E-04 0.703E-05
     327 0.766E-05 0.944E-05 0.772E-05
     328 0.729E-05 0.942E-05 0.625E-05
     329 0.806E-05 0.176E-04 0.690E-05
     330 0.791E-05 0.176E-04 0.613E-05
     331 0.758E-05 0.165E-04 0.103E-04
     332 0.777E-05 0.164E-04 0.703E-05
     333 0.892E-05 0.116E-04 0.811E-05
     334 0.892E-05 0.116E-04 0.777E-05
     335 0.797E-05 0.121E-04 0.117E-04
     336 0.776E-05 0.121E-04 0.888E-05
     337 0.763E-05 0.139E-04 0.669E-05
     338 0.743E-05 0.139E-04 0.669E-05
     339 0.867E-05 0.172E-04 0.906E-05
     340 0.862E-05 0.172E-04 0.875E-05
     341 0.847E-05 0.155E-04 0.843E-05
     342 0.841E-05 0.155E-04 0.669E-05
     343 0.980E-05 0.197E-04 0.780E-05
     344 0.876E-05 0.197E-04 0.598E-05
     345 0.819E-05 0.128E-04 0.784E-05
     346 0.826E-05 0.128E-04 0.680E-05
     347 0.791E-05 0.147E-04 0.105E-04
     348 0.741E-05 0.149E-04 0.919E-05
     349 0.747E-05 0.978E-05 0.114E-04
     350 0.729E-05 0.979E-05 0.108E-04
     351 0.773E-05 0.190E-04 0.921E-05
     352 0.773E-05 0.191E-04 0.852E-05
     353 0.707E-05 0.165E-04 0.851E-05
     354 0.701E-05 0.165E-04 0.803E-05
     355 0.888E-05 0.172E-04 0.107E-04
     356 0.874E-05 0.172E-04 0.701E-05
     357 0.938E-05 0.176E-04 0.106E-04
     358 0.894E-05 0.175E-04 0.103E-04
     359 0.110E-04 0.173E-04 0.688E-05
     360 0.109E-04 0.172E-04 0.688E-05
     361 0.817E-05 0.199E-04 0.116E-04
     362 0.859E-05 0.199E-04 0.104E-04
     363 0.724E-05 0.124E-04 0.849E-05
     364 0.741E-05 0.124E-04 0.741E-05
     365 0.748E-05 0.130E-04 0.793E-05
     366 0.739E-05 0.133E-04 0.676E-05
     367 0.118E-04 0.127E-04 0.106E-04
     368 0.121E-04 0.127E-04 0.977E-05
     369 0.951E-05 0.970E-05 0.591E-05
     370 0.878E-05 0.972E-05 0.568E-05
     371 0.715E-05 0.176E-04 0.964E-05
     372 0.724E-05 0.176E-04 0.878E-05
     373 0.915E-05 0.103E-04 0.686E-05
     374 0.894E-05 0.103E-04 0.571E-05
     375 0.729E-05 0.156E-04 0.576E-05
     376 0.718E-05 0.156E-04 0.481E-05
     377 0.109E-04 0.108E-04 0.588E-05
     378 0.109E-04 0.104E-04 0.451E-05
     379 0.699E-05 0.196E-04 0.973E-05
     380 0.705E-05 0.197E-04 0.890E-05
     381 0.656E-05 0.169E-04 0.128E-04
     382 0.656E-05 0.169E-04 0.117E-04
     383 0.857E-05 0.986E-05 0.667E-05
     384 0.787E-05 0.988E-05 0.612E-05
     385 0.708E-05 0.179E-04 0.103E-04
     386 0.717E-05 0.179E-04 0.958E-05
     387 0.724E-05 0.176E-04 0.923E-05
     388 0.710E-05 0.118E-04 0.863E-05
     389 0.734E-05 0.137E-04 0.551E-05
     390 0.718E-05 0.137E-04 0.517E-05
     391 0.732E-05 0.147E-04 0.809E-05
     392 0.727E-05 0.147E-04 0.625E-05
     393 0.669E-05 0.126E-04 0.766E-05
     394 0.678E-05 0.126E-04 0.707E-05
     395 0.105E-04 0.142E-04 0.802E-05
     396 0.105E-04 0.142E-04 0.718E-05
     397 0.925E-05 0.130E-04 0.609E-05
     398 0.928E-05 0.130E-04 0.539E-05
     399 0.858E-05 0.173E-04 0.818E-05
     400 0.835E-05 0.173E-04 0.762E-05
     401 0.750E-05 0.137E-04 0.762E-05
     402 0.802E-05 0.137E-04 0.734E-05
     403 0.754E-05 0.162E-04 0.783E-05
     404 0.805E-05 0.162E-04 0.677E-05
     405 0.912E-05 0.132E-04 0.973E-05
     406 0.928E-05 0.134E-04 0.732E-05
     407 0.800E-05 0.175E-04 0.796E-05
     408 0.781E-05 0.176E-04 0.699E-05
     409 0.943E-05 0.135E-04 0.764E-05
     410 0.943E-05 0.135E-04 0.764E-05
     411 0.810E-05 0.237E-04 0.661E-05
     412 0.843E-05 0.237E-04 0.569E-05
     413 0.784E-05 0.142E-04 0.785E-05
     414 0.835E-05 0.142E-04 0.819E-05
     415 0.115E-04 0.108E-04 0.674E-05
     416 0.115E-04 0.109E-04 0.648E-05
     417 0.108E-04 0.148E-04 0.971E-05
     418 0.107E-04 0.145E-04 0.836E-05
     419 0.102E-04 0.124E-04 0.817E-05
     420 0.979E-05 0.120E-04 0.738E-05
     421 0.715E-05 0.182E-04 0.119E-04
     422 0.701E-05 0.180E-04 0.635E-05
     423 0.836E-05 0.169E-04 0.637E-05
     424 0.853E-05 0.169E-04 0.637E-05
     425 0.698E-05 0.175E-04 0.903E-05
     426 0.715E-05 0.175E-04 0.875E-05
     427 0.751E-05 0.161E-04 0.638E-05
     428 0.801E-05 0.202E-04 0.635E-05
     429 0.102E-04 0.124E-04 0.731E-05
     430 0.101E-04 0.109E-04 0.633E-05
     431 0.818E-05 0.150E-04 0.571E-05
     432 0.869E-05 0.150E-04 0.504E-05
     433 0.841E-05 0.117E-04 0.739E-05
     434 0.875E-05 0.118E-04 0.727E-05
     435 0.872E-05 0.149E-04 0.779E-05
     436 0.894E-05 0.149E-04 0.667E-05
     437 0.723E-05 0.902E-05 0.950E-05
     438 0.723E-05 0.906E-05 0.851E-05
     439 0.920E-05 0.102E-04 0.669E-05
     440 0.814E-05 0.106E-04 0.669E-05
     441 0.679E-05 0.137E-04 0.691E-05
     442 0.669E-05 0.137E-04 0.607E-05
     443 0.104E-04 0.120E-04 0.597E-05
     444 0.104E-04 0.108E-04 0.573E-05
     445 0.101E-04 0.170E-04 0.735E-05
     446 0.682E-05 0.169E-04 0.729E-05
     447 0.710E-05 0.138E-04 0.101E-04
     448 0.715E-05 0.138E-04 0.728E-05
     449 0.105E-04 0.111E-04 0.667E-05
     450 0.102E-04 0.111E-04 0.612E-05
     451 0.805E-05 0.168E-04 0.698E-05
     452 0.816E-05 0.168E-04 0.668E-05
     453 0.598E-05 0.131E-04 0.633E-05
     454 0.602E-05 0.110E-04 0.622E-05
     455 0.131E-04 0.143E-04 0.911E-05
     456 0.129E-04 0.143E-04 0.804E-05
     457 0.975E-05 0.147E-04 0.753E-05
     458 0.986E-05 0.147E-04 0.718E-05
     459 0.639E-05 0.119E-04 0.669E-05
     460 0.641E-05 0.119E-04 0.669E-05
     461 0.759E-05 0.170E-04 0.669E-05
     462 0.748E-05 0.170E-04 0.669E-05
     463 0.819E-05 0.184E-04 0.817E-05
     464 0.804E-05 0.184E-04 0.791E-05
     465 0.668E-05 0.135E-04 0.713E-05
     466 0.660E-05 0.147E-04 0.705E-05
     467 0.665E-05 0.168E-04 0.767E-05
     468 0.659E-05 0.169E-04 0.732E-05
     469 0.861E-05 0.150E-04 0.791E-05
     470 0.861E-05 0.150E-04 0.701E-05
     471 0.722E-05 0.146E-04 0.783E-05
     472 0.734E-05 0.131E-04 0.673E-05
     473 0.964E-05 0.124E-04 0.872E-05
     474 0.975E-05 0.124E-04 0.731E-05
     475 0.826E-05 0.109E-04 0.119E-04
     476 0.836E-05 0.110E-04 0.113E-04
     477 0.624E-05 0.180E-04 0.664E-05
     478 0.644E-05 0.154E-04 0.518E-05
     479 0.731E-05 0.174E-04 0.734E-05
     480 0.720E-05 0.174E-04 0.705E-05
     481 0.764E-05 0.160E-04 0.764E-05
     482 0.806E-05 0.160E-04 0.739E-05
     483 0.836E-05 0.135E-04 0.751E-05
     484 0.834E-05 0.135E-04 0.674E-05
     485 0.110E-04 0.149E-04 0.779E-05
     486 0.110E-04 0.150E-04 0.694E-05
     487 0.811E-05 0.137E-04 0.842E-05
     488 0.734E-05 0.113E-04 0.774E-05
     489 0.676E-05 0.144E-04 0.881E-05
     490 0.703E-05 0.145E-04 0.756E-05
     491 0.708E-05 0.160E-04 0.735E-05
     492 0.696E-05 0.117E-04 0.686E-05
     493 0.728E-05 0.878E-05 0.765E-05
     494 0.713E-05 0.883E-05 0.712E-05
     495 0.688E-05 0.151E-04 0.976E-05
     496 0.687E-05 0.151E-04 0.923E-05
     497 0.132E-04 0.119E-04 0.727E-05
     498 0.131E-04 0.119E-04 0.475E-05
     499 0.841E-05 0.145E-04 0.826E-05
     500 0.814E-05 0.145E-04 0.678E-05
     501 0.793E-05 0.166E-04 0.574E-05
     502 0.802E-05 0.166E-04 0.641E-05
     503 0.817E-05 0.163E-04 0.612E-05
     504 0.842E-05 0.164E-04 0.595E-05
     505 0.843E-05 0.165E-04 0.111E-04
     506 0.861E-05 0.165E-04 0.111E-04
     507 0.896E-05 0.137E-04 0.892E-05
     508 0.897E-05 0.137E-04 0.892E-05
     509 0.896E-05 0.133E-04 0.892E-05
     510 0.902E-05 0.133E-04 0.764E-05
     511 0.883E-05 0.127E-04 0.732E-05
     512 0.898E-05 0.127E-04 0.732E-05
     513 0.882E-05 0.162E-04 0.714E-05
     514 0.879E-05 0.162E-04 0.691E-05
     515 0.883E-05 0.148E-04 0.645E-05
     516 0.870E-05 0.108E-04 0.528E-05
     517 0.880E-05 0.199E-04 0.613E-05
     518 0.915E-05 0.199E-04 0.510E-05
     519 0.899E-05 0.107E-04 0.819E-05
     520 0.894E-05 0.103E-04 0.764E-05
     521 0.901E-05 0.119E-04 0.712E-05
     522 0.904E-05 0.119E-04 0.818E-05
